mean_xai_power,mean_random_power,incremental_power,cohens_d,practical_significant,ci_lower_95,ci_upper_95,r2_score,pearson_r,spearman_r,r2_note,cv_mean_xai_power,cv_std_xai_power,cv_folds,method,dataset,top_k,n_instances,n_bootstrap,random_seed,model,n_aligned,sample_adequacy,n_per_method,r2_valid,r2_use_in_paper
0.005,0.001,0.004,0.0698,False,-0.0052,0.0151,-163.5398,0.6724,0.5234,R² = -1.64e+02: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.005,0.0087,5,IntegratedGradients,CIC_IIoT_2025,10,200,2000,42,Transformer,200,limited,"{'IntegratedGradients': 1000, 'SHAP': 200, 'LIME': 200, 'Attention': 1000}",INVALID,False
0.0047,0.001,0.0036,0.0585,False,-0.0066,0.0154,0.9943,0.9984,0.9994,R² = 0.9943: within acceptable range but secondary metric.,0.0047,0.0179,5,SHAP,CIC_IIoT_2025,10,200,2000,42,Transformer,200,limited,"{'IntegratedGradients': 1000, 'SHAP': 200, 'LIME': 200, 'Attention': 1000}",VALID,False
0.0027,0.001,0.0017,0.028,False,-0.0076,0.0132,-19.9825,-0.0512,0.1333,R² = -2.00e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.0027,0.0042,5,LIME,CIC_IIoT_2025,10,200,2000,42,Transformer,200,limited,"{'IntegratedGradients': 1000, 'SHAP': 200, 'LIME': 200, 'Attention': 1000}",INVALID,False
0.0108,0.001,0.0097,0.155,False,-0.0002,0.0219,0.0078,0.2209,0.5476,R² = 0.0078: within acceptable range but secondary metric.,0.0108,0.0049,5,Attention,CIC_IIoT_2025,10,200,2000,42,Transformer,200,limited,"{'IntegratedGradients': 1000, 'SHAP': 200, 'LIME': 200, 'Attention': 1000}",VALID,False
-0.0631,-0.0394,-0.0237,-0.1698,False,-0.0873,-0.0387,-28802293.4925,0.758,0.838,R² = -2.88e+07: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,-0.0631,0.0192,5,SHAP,CIC_IIoT_2025,10,200,2000,42,LR,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}",INVALID,False
-0.0889,-0.0394,-0.0495,-0.3725,False,-0.1115,-0.0672,-1.0822,0.2857,0.3631,"R² = -1.0822: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",-0.0889,0.0207,5,LIME,CIC_IIoT_2025,10,200,2000,42,LR,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}",BORDERLINE,False
0.0038,-0.0394,0.0432,0.3144,False,-0.0196,0.028,-2.6518,-0.1263,-0.1502,"R² = -2.6518: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",0.0038,0.0187,5,Anchors,CIC_IIoT_2025,10,200,2000,42,LR,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}",BORDERLINE,False
0.3952,0.1239,0.2713,3.3367,True,0.3815,0.4076,0.9999,1.0,0.7432,"R²≈1 is a mathematical identity of SHAP additivity axiom (TreeExplainer). Expected by construction, not a performance finding.",0.3952,0.006,5,SHAP,CIC_IIoT_2025,10,200,2000,42,RF,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}",TAUTOLOGY,False
0.3698,0.1239,0.2459,2.7996,True,0.3548,0.384,-0.7983,0.2553,0.375,"R² = -0.7983: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",0.3698,0.0146,5,LIME,CIC_IIoT_2025,10,200,2000,42,RF,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}",BORDERLINE,False
0.2243,0.1239,0.1004,0.9115,True,0.2048,0.244,-21.8902,0.0897,0.0633,R² = -2.19e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,0.2243,0.0179,5,Anchors,CIC_IIoT_2025,10,200,2000,42,RF,200,limited,"{'SHAP': 1000, 'LIME': 1000, 'Anchors': 200}",INVALID,False
