metric,dataset,method_A,method_B,model,val_A,val_B,diff_A_minus_B,A_wins,ci_separated,cohens_d_A,cohens_d_B,evidence,n_aligned,sample_adequacy,n_common_models,consistent_winner,boot_ci_lo_diff,boot_ci_hi_diff,inference_note
Explanatory Power,CIC_IIoT_2025,Anchors,LIME,DT,-0.0618,-0.2506,0.1888,True,False,-0.0618,-0.2506,INCONCLUSIVE,200,limited,4,Anchors,-1.5736,1.017,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Anchors,LIME,LR,0.3144,-0.3725,0.6869,True,True,0.3144,-0.3725,WEAK EVIDENCE (CI separated but small effect),200,limited,4,Anchors,-1.5736,1.017,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Anchors,LIME,RF,0.9115,2.7996,-1.8881,False,True,0.9115,2.7996,STRONG EVIDENCE,200,limited,4,Anchors,-1.5736,1.017,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Anchors,LIME,XGB,0.6254,-0.3263,0.9517,True,True,0.6254,-0.3263,WEAK EVIDENCE (CI separated but small effect),30,minimal,4,Anchors,-1.5736,1.017,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Anchors,SHAP,DT,-0.0618,-0.063,0.0012,True,False,-0.0618,-0.063,INCONCLUSIVE,200,limited,4,Anchors,-2.0234,0.879,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Anchors,SHAP,LR,0.3144,-0.1698,0.4842,True,True,0.3144,-0.1698,WEAK EVIDENCE (CI separated but small effect),200,limited,4,Anchors,-2.0234,0.879,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Anchors,SHAP,RF,0.9115,3.3367,-2.4252,False,True,0.9115,3.3367,STRONG EVIDENCE,200,limited,4,Anchors,-2.0234,0.879,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Anchors,SHAP,XGB,0.6254,-0.2602,0.8856,True,False,0.6254,-0.2602,INCONCLUSIVE,30,minimal,4,Anchors,-2.0234,0.879,"DESCRIPTIVE ONLY — n_models=4, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Attention,IntegratedGradients,LSTM,-0.1026,0.1594,-0.262,False,False,-0.1026,0.1594,INCONCLUSIVE,200,limited,2,Attention,-0.262,0.0852,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Attention,IntegratedGradients,Transformer,0.155,0.0698,0.0852,True,False,0.155,0.0698,INCONCLUSIVE,200,limited,2,Attention,-0.262,0.0852,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Attention,LIME,LSTM,-0.1026,-0.0006,-0.102,False,False,-0.1026,-0.0006,INCONCLUSIVE,200,limited,2,Attention,-0.1306,0.1556,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Attention,LIME,Transformer,0.155,0.028,0.127,True,False,0.155,0.028,INCONCLUSIVE,200,limited,2,Attention,-0.1306,0.1556,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
Explanatory Power,CIC_IIoT_2025,Attention,SHAP,LSTM,-0.1026,-0.0714,-0.0312,False,False,-0.1026,-0.0714,INCONCLUSIVE,200,limited,2,Attention,-0.1611,0.2264,"DESCRIPTIVE ONLY — n_models=2, NO INFERENCE"
