method,model,dataset,n_samples,total_seconds,seconds_per_sample
IntegratedGradients,LSTM,CIC_IIoT_2025,500,0.59,0.0012
Attention,LSTM,CIC_IIoT_2025,1000,0.02,0.0
SHAP,DT,IDS2025_Balanced,1000,0.13,0.0001
LIME,DT,IDS2025_Balanced,1000,90.89,0.0909
Anchors,DT,IDS2025_Balanced,30,94.42,3.1472
SHAP,LR,IDS2025_Balanced,1000,0.01,0.0
LIME,LR,IDS2025_Balanced,1000,91.69,0.0917
SHAP,RF,IDS2025_Balanced,1000,35.8,0.0358
LIME,RF,IDS2025_Balanced,1000,150.16,0.1502
SHAP,XGB,IDS2025_Balanced,1000,0.24,0.0002
LIME,XGB,IDS2025_Balanced,1000,149.63,0.1496
Anchors,XGB,IDS2025_Balanced,30,400.25,13.3417
SHAP,Transformer,IDS2025_Balanced,50,1504.73,30.0947
LIME,Transformer,IDS2025_Balanced,50,46.23,0.9247
IntegratedGradients,Transformer,IDS2025_Balanced,500,1.07,0.0021
Attention,Transformer,IDS2025_Balanced,1000,0.03,0.0
SHAP,LSTM,IDS2025_Balanced,50,899.26,17.9852
LIME,LSTM,IDS2025_Balanced,50,28.81,0.5763
IntegratedGradients,LSTM,IDS2025_Balanced,500,0.56,0.0011
Attention,LSTM,IDS2025_Balanced,1000,0.01,0.0
