method,model,dataset,n_aligned,sample_adequacy,cohens_d,practical_significant,incremental_power,mean_xai_power,mean_random_power,ci_lower_95,ci_upper_95,cv_mean_xai_power,cv_std_xai_power,r2_score,r2_valid,r2_note,r2_use_in_paper,EP_primary_metric,EP_primary_note,ep_interpret,ep_use_in_ranking,ep_note,comparison_tier,tier_note
IntegratedGradients,Transformer,CIC_IIoT_2025,200,limited,0.0698,False,0.004,0.005,0.001,-0.0052,0.0151,0.005,0.0087,-163.5398,INVALID,R² = -1.64e+02: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0052, 0.0151] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
SHAP,Transformer,CIC_IIoT_2025,200,limited,0.0585,False,0.0036,0.0047,0.001,-0.0066,0.0154,0.0047,0.0179,0.9943,VALID,R² = 0.9943: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0066, 0.0154] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
LIME,Transformer,CIC_IIoT_2025,200,limited,0.028,False,0.0017,0.0027,0.001,-0.0076,0.0132,0.0027,0.0042,-19.9825,INVALID,R² = -2.00e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0076, 0.0132] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
Attention,Transformer,CIC_IIoT_2025,200,limited,0.155,False,0.0097,0.0108,0.001,-0.0002,0.0219,0.0108,0.0049,0.0078,VALID,R² = 0.0078: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0002, 0.0219] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
SHAP,LR,CIC_IIoT_2025,200,limited,-0.1698,False,-0.0237,-0.0631,-0.0394,-0.0873,-0.0387,-0.0631,0.0192,-28802293.4925,INVALID,R² = -2.88e+07: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,BASE_MODEL_WEAK,False,LR F1≈68-80% (below 90% threshold); perturbation-based EP requires well-fitted classifier. Metric values retained; excluded from ranking.,EXCLUDED,BASE_MODEL_WEAK
LIME,LR,CIC_IIoT_2025,200,limited,-0.3725,False,-0.0495,-0.0889,-0.0394,-0.1115,-0.0672,-0.0889,0.0207,-1.0822,BORDERLINE,"R² = -1.0822: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,BASE_MODEL_WEAK,False,LR F1≈68-80% (below 90% threshold); perturbation-based EP requires well-fitted classifier. Metric values retained; excluded from ranking.,EXCLUDED,BASE_MODEL_WEAK
Anchors,LR,CIC_IIoT_2025,200,limited,0.3144,False,0.0432,0.0038,-0.0394,-0.0196,0.028,0.0038,0.0187,-2.6518,BORDERLINE,"R² = -2.6518: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,BASE_MODEL_WEAK,False,LR F1≈68-80% (below 90% threshold); perturbation-based EP requires well-fitted classifier. Metric values retained; excluded from ranking.,EXCLUDED,BASE_MODEL_WEAK
SHAP,RF,CIC_IIoT_2025,200,limited,3.3367,True,0.2713,0.3952,0.1239,0.3815,0.4076,0.3952,0.006,0.9999,TAUTOLOGY,"R²≈1 is a mathematical identity of SHAP additivity axiom (TreeExplainer). Expected by construction, not a performance finding.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,RELIABLE,True,"n=200 (limited); CI=[0.3815,0.4076] fully positive; base model F1 > 90%. Used in ranking.",T1_JOINT,Primary head-to-head: all classical methods RELIABLE
LIME,RF,CIC_IIoT_2025,200,limited,2.7996,True,0.2459,0.3698,0.1239,0.3548,0.384,0.3698,0.0146,-0.7983,BORDERLINE,"R² = -0.7983: negative but within marginal range. Indicates poor reconstruction in probability space. Use ablation-based metrics (cohens_d, incremental_power) instead.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,RELIABLE,True,"n=200 (limited); CI=[0.3548,0.3840] fully positive; base model F1 > 90%. Used in ranking.",T1_JOINT,Primary head-to-head: all classical methods RELIABLE
Anchors,RF,CIC_IIoT_2025,200,limited,0.9115,True,0.1004,0.2243,0.1239,0.2048,0.244,0.2243,0.0179,-21.8902,INVALID,R² = -2.19e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,RELIABLE,True,"n=200 (limited); CI=[0.2048,0.2440] fully positive; base model F1 > 90%. Used in ranking.",T1_JOINT,Primary head-to-head: all classical methods RELIABLE
SHAP,LSTM,CIC_IIoT_2025,200,limited,-0.0714,False,-0.0038,0.0019,0.0056,-0.0071,0.0107,0.0019,0.0102,0.9937,VALID,R² = 0.9937: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0071, 0.0107] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
LIME,LSTM,CIC_IIoT_2025,200,limited,-0.0006,False,-0.0,0.0056,0.0056,-0.0026,0.0133,0.0056,0.0134,-22.3944,INVALID,R² = -2.24e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0026, 0.0133] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
IntegratedGradients,LSTM,CIC_IIoT_2025,200,limited,0.1594,False,0.0118,0.0174,0.0056,0.0048,0.0313,0.0174,0.0083,-29936.0658,INVALID,R² = -2.99e+04: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,RELIABLE,True,"n=200 (limited); CI=[0.0048,0.0313] fully positive; base model F1 > 90%. Used in ranking.",T3_REFERENCE,Reference: per-method only; no cross-method comparison
Attention,LSTM,CIC_IIoT_2025,200,limited,-0.1026,False,-0.0052,0.0004,0.0056,-0.0083,0.0083,0.0004,0.0119,-0.0,VALID,R² = -0.0000: within acceptable range but secondary metric.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0083, 0.0083] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
SHAP,DT,CIC_IIoT_2025,200,limited,-0.063,False,-0.0021,0.0014,0.0035,-0.0042,0.0074,0.0014,0.0066,0.9991,TAUTOLOGY,"R²≈1 is a mathematical identity of SHAP additivity axiom (TreeExplainer). Expected by construction, not a performance finding.",False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0042, 0.0074] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
Anchors,DT,CIC_IIoT_2025,200,limited,-0.0618,False,-0.002,0.0015,0.0035,-0.0032,0.0078,0.0015,0.0061,-50.0585,INVALID,R² = -5.01e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0032, 0.0078] spans zero; effect direction not established. n=200, adequacy=limited.",EXCLUDED,INCONCLUSIVE_NOISE
LIME,DT,CIC_IIoT_2025,200,limited,-0.2506,False,-0.0061,-0.0025,0.0035,-0.0063,-0.0,-0.0025,0.0031,-27.9777,INVALID,R² = -2.80e+01: numerical explosion due to space mismatch. Explanation values operate in a different space from probability outputs. Excluded from all EP comparisons.,False,cohens_d,Ablation-based: |effect size vs random| in probability space,INCONCLUSIVE_NOISE,False,"CI=[-0.0063, -0.0000]; upper bound ≤ 0.001 (best-case effect is null). LIME DT — borderline negative.",EXCLUDED,INCONCLUSIVE_NOISE
